                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1001,                 2.1449,                 1.1629,                0.98591,                 0.3762,                0.89341,                0.63133,                0.94276,                 3.2069,                 1.0684,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.0519,                  1.535,                  1.143,                0.76828,                0.59677,                0.70009,                0.44583,                 1.1459,                  2.622,                 1.2194,               0.001304,               0.001304,               0.001304
                      3,                 1.0862,                 1.4567,                 1.1651,                0.36727,                0.41398,                0.30038,                0.08603,                 2.1184,                  4.878,                 3.0152,              0.0019445,              0.0019445,              0.0019445
                      4,                 1.1215,                 1.2773,                 1.1873,                 0.5756,                0.48387,                 0.4862,                0.24854,                 1.7409,                 2.4146,                 1.8329,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1017,                 1.1058,                 1.1699,                0.69364,                0.53561,                0.62473,                 0.3618,                 1.3337,                 1.8202,                   1.41,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0602,                 1.0387,                 1.1675,                0.84951,                0.80108,                0.88875,                0.57087,                 1.1698,                 1.3468,                 1.2732,               0.001901,               0.001901,               0.001901
                      7,                 1.0482,                0.91094,                 1.1455,                0.92449,                0.86559,                0.94308,                0.70162,                0.92521,                 1.0432,                 1.1003,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.016,                0.84589,                 1.1337,                0.92512,                0.94086,                0.96762,                0.70428,                0.94745,                0.81119,                 1.1196,              0.0018614,              0.0018614,              0.0018614
                      9,                0.96643,                0.75567,                 1.0952,                0.89747,                0.89418,                0.94514,                 0.7041,                0.93169,                0.83017,                 1.0988,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98268,                0.77452,                 1.1051,                0.94341,                0.94086,                0.97746,                0.74307,                0.87382,                0.86061,                 1.0597,              0.0018218,              0.0018218,              0.0018218
                     11,                0.97078,                0.72211,                 1.0852,                0.92396,                0.91456,                0.95956,                 0.7131,                0.89949,                0.85851,                 1.0825,               0.001802,               0.001802,               0.001802
                     12,                0.97705,                 0.7225,                 1.1268,                0.95506,                0.93011,                0.97182,                0.75298,                0.82651,                 0.7114,                 1.0457,              0.0017822,              0.0017822,              0.0017822
                     13,                0.96419,                0.69437,                 1.1176,                0.96713,                0.94917,                0.97786,                0.74756,                 0.9145,                0.57543,                 1.0642,              0.0017624,              0.0017624,              0.0017624
