                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.98473,                0.64149,                 1.4224,                0.98832,                0.97849,                0.99212,                0.76861,                0.90656,                 0.4938,                 1.3956,              0.0007922,              0.0007922,              0.0007922
                     63,                0.98781,                0.64318,                 1.4026,                 0.9949,                0.96237,                0.98618,                0.76422,                0.87316,                0.50079,                 1.4169,              0.0007724,              0.0007724,              0.0007724
                     64,                0.96661,                0.64525,                 1.4208,                0.96782,                0.97849,                0.98892,                0.77379,                0.84548,                0.50929,                 1.3753,              0.0007526,              0.0007526,              0.0007526
                     65,                0.99268,                0.65613,                 1.4269,                0.97354,                 0.9891,                0.98606,                0.76632,                0.84297,                0.45351,                 1.3988,              0.0007328,              0.0007328,              0.0007328
                     66,                0.95844,                0.63733,                 1.4106,                0.98548,                0.98387,                0.99219,                0.79036,                0.83831,                0.46589,                 1.3757,               0.000713,               0.000713,               0.000713
                     67,                 0.9301,                0.60339,                 1.3963,                0.98344,                 0.9578,                0.99177,                0.77646,                0.83595,                0.45338,                 1.3616,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93423,                0.61554,                  1.373,                0.97847,                0.97742,                0.98742,                0.79312,                0.82344,                0.46207,                 1.3556,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95684,                0.61999,                 1.3822,                0.96085,                0.97849,                0.99248,                0.77671,                0.85818,                 0.4734,                 1.3739,              0.0006536,              0.0006536,              0.0006536
                     70,                0.95039,                0.61131,                 1.3896,                0.99505,                0.95699,                0.98632,                0.78307,                 0.8301,                0.47771,                  1.369,              0.0006338,              0.0006338,              0.0006338
                     71,                0.94519,                0.60705,                 1.3841,                0.97804,                0.95785,                0.98501,                0.78492,                0.82168,                0.47549,                 1.3455,               0.000614,               0.000614,               0.000614
                     72,                0.95592,                0.60654,                 1.3774,                0.99397,                0.95161,                0.98725,                0.78694,                 0.8359,                0.46713,                 1.3599,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.8986,                0.58947,                 1.3563,                0.99104,                0.95161,                0.99039,                0.78818,                 0.8185,                0.45375,                 1.3475,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90913,                0.59125,                 1.3573,                0.99445,                0.96383,                0.99211,                0.78508,                0.83121,                 0.4674,                 1.3543,              0.0005546,              0.0005546,              0.0005546
                     75,                0.93584,                0.59963,                 1.3789,                0.98655,                0.96237,                0.99145,                0.79632,                0.79959,                0.44329,                 1.3336,              0.0005348,              0.0005348,              0.0005348
                     76,                0.90681,                0.56895,                 1.3445,                0.99251,                0.95699,                 0.9853,                0.78177,                0.84583,                0.46555,                 1.3555,               0.000515,               0.000515,               0.000515
                     77,                0.93165,                0.59727,                 1.3812,                0.99438,                0.95163,                0.99211,                0.77082,                0.86777,                0.45842,                 1.3839,              0.0004952,              0.0004952,              0.0004952
                     78,                0.90163,                0.57153,                 1.3451,                0.98155,                0.96774,                0.98524,                0.79021,                0.81841,                0.44422,                 1.3457,              0.0004754,              0.0004754,              0.0004754
                     79,                0.87376,                0.55358,                 1.3293,                0.96806,                 0.9776,                0.98604,                0.79802,                 0.7875,                0.42997,                 1.3241,              0.0004556,              0.0004556,              0.0004556
                     80,                0.85916,                0.55024,                  1.328,                0.99356,                0.96237,                 0.9866,                0.80696,                0.78031,                  0.427,                 1.3279,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.8775,                0.54659,                 1.3394,                0.98156,                0.97849,                0.99221,                0.79976,                0.78314,                 0.4276,                 1.3159,               0.000416,               0.000416,               0.000416
                     82,                0.85828,                0.55155,                 1.3091,                      1,                0.94613,                0.99111,                 0.7878,                0.81712,                0.44563,                 1.3574,              0.0003962,              0.0003962,              0.0003962
                     83,                0.86096,                0.52891,                 1.3093,                0.98893,                 0.9609,                0.98689,                0.80658,                0.81903,                0.42234,                 1.3188,              0.0003764,              0.0003764,              0.0003764
                     84,                0.88012,                 0.5492,                 1.3331,                0.98788,                0.96774,                 0.9876,                0.80429,                0.77558,                0.41995,                 1.3037,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87614,                0.54913,                  1.327,                0.98798,                0.97312,                0.99246,                0.82091,                0.76594,                0.40876,                 1.2921,              0.0003368,              0.0003368,              0.0003368
                     86,                0.87554,                0.53808,                 1.3216,                0.99443,                0.95949,                0.98674,                0.81265,                0.76616,                0.41072,                 1.2853,               0.000317,               0.000317,               0.000317
                     87,                0.87327,                0.54792,                 1.3296,                0.96702,                0.97849,                0.98919,                0.81075,                0.75801,                0.41837,                 1.2897,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86177,                0.52849,                 1.3213,                0.97322,                0.97704,                 0.9935,                0.81287,                0.75623,                0.41297,                 1.2897,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.8478,                0.51892,                 1.3149,                0.97333,                0.98095,                0.99374,                0.80872,                0.76853,                0.40476,                 1.2954,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.8565,                0.53271,                 1.3059,                0.98392,                0.97849,                0.99371,                0.82115,                0.74673,                0.39226,                 1.2751,              0.0002378,              0.0002378,              0.0002378
                     91,                0.72734,                0.42817,                 1.2311,                0.98201,                0.98387,                0.99292,                0.81727,                 0.7627,                0.40053,                 1.2925,               0.000218,               0.000218,               0.000218
                     92,                 0.7238,                0.40463,                 1.2209,                0.98275,                0.98387,                0.99328,                0.82219,                 0.7534,                0.38926,                 1.2639,              0.0001982,              0.0001982,              0.0001982
                     93,                0.71499,                0.40374,                 1.2253,                0.98286,                0.98387,                0.99373,                0.81587,                0.75657,                0.39085,                 1.2943,              0.0001784,              0.0001784,              0.0001784
                     94,                0.70976,                0.39151,                 1.2084,                0.98392,                0.98678,                0.98811,                0.81919,                0.74258,                0.39597,                 1.2734,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71094,                0.39373,                 1.2049,                0.98322,                0.98925,                0.98876,                0.81031,                0.76189,                0.39791,                  1.277,              0.0001388,              0.0001388,              0.0001388
                     96,                0.70844,                0.39083,                 1.2114,                0.99455,                0.98111,                0.99313,                0.82346,                0.73138,                 0.3796,                  1.253,               0.000119,               0.000119,               0.000119
                     97,                0.68672,                0.39274,                 1.2148,                0.99909,                0.97849,                0.99342,                0.82275,                0.74766,                0.37999,                 1.2694,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.70295,                 0.3785,                 1.2011,                0.98393,                0.98762,                0.99107,                0.82501,                0.73857,                0.37776,                 1.2672,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.67705,                0.37786,                 1.1744,                      1,                0.97111,                0.99034,                0.82052,                 0.7426,                0.37865,                 1.2613,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.68454,                0.38451,                 1.1815,                      1,                0.98083,                0.98848,                0.82463,                0.73825,                0.37579,                 1.2572,               3.98e-05,               3.98e-05,               3.98e-05
