                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3124,                  4.414,                 4.2477,                0.00124,                0.37097,                0.00086,                0.00026,                 3.0097,                 4.9554,                 4.1733,             0.00065041,             0.00065041,             0.00065041
                      2,                 2.9062,                 3.6115,                 3.6259,                0.00097,                0.29032,                0.00082,                0.00019,                 3.1034,                 4.3209,                 4.4236,               0.001304,               0.001304,               0.001304
                      3,                 2.6426,                 3.0988,                 3.1709,                0.00182,                0.15054,                0.00172,                0.00041,                 2.9631,                 4.4045,                 4.1344,              0.0019445,              0.0019445,              0.0019445
                      4,                 2.4899,                 2.6418,                 2.9675,                0.51425,                0.43548,                0.45623,                0.18758,                 2.0614,                 2.3643,                  2.873,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.246,                 2.3191,                 2.7566,                0.26039,                0.45807,                0.25776,                0.10725,                 2.0695,                 7.9729,                 3.0535,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1867,                 2.1487,                 2.6758,                0.43144,                0.46237,                0.35521,                0.11886,                 2.0777,                 5.0433,                 3.4109,               0.001901,               0.001901,               0.001901
                      7,                 2.0231,                   1.94,                 2.5239,                0.76128,                0.64516,                0.78311,                0.41568,                 1.6485,                  1.566,                 2.3991,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9513,                 1.8196,                  2.445,                0.69953,                0.62903,                0.72268,                0.39067,                 1.6241,                 1.5861,                  2.299,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.783,                 1.6279,                 2.2733,                0.68402,                0.81469,                0.82081,                0.45879,                 1.5021,                 1.3489,                 2.2097,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7512,                 1.5622,                  2.216,                0.73502,                 0.7043,                0.76823,                0.40725,                 1.7441,                 1.5768,                 2.4041,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6889,                 1.4684,                 2.1642,                0.73356,                 0.6217,                0.73617,                0.46975,                 1.3448,                 1.7152,                 2.0883,               0.001802,               0.001802,               0.001802
                     12,                 1.6328,                 1.3784,                 2.1116,                0.85176,                0.84409,                0.92004,                 0.5059,                 1.5762,                 1.1683,                 2.2198,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6043,                 1.3489,                 2.0654,                0.80097,                0.82216,                0.89341,                0.52033,                 1.4621,                 1.3099,                 2.1448,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5642,                 1.3426,                 2.0383,                0.79441,                0.75269,                0.84575,                0.47816,                  1.528,                 1.3228,                 2.1569,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5362,                 1.2748,                 2.0088,                0.78321,                0.77696,                0.84517,                0.39802,                 1.7432,                 1.6346,                 2.2811,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5169,                 1.2548,                 1.9663,                0.83972,                  0.845,                0.91575,                0.57162,                 1.3094,                 1.2828,                 1.9199,               0.001703,               0.001703,               0.001703
                     17,                  1.477,                 1.2452,                 1.9125,                   0.89,                0.82652,                0.90697,                 0.5762,                 1.3005,                 1.0477,                 1.9156,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4423,                 1.1616,                 1.8692,                0.87817,                0.86022,                0.93396,                0.58615,                  1.271,                 1.0763,                  1.883,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3716,                  1.124,                 1.8256,                0.95538,                0.75269,                0.91806,                0.64348,                 1.1508,                 1.0175,                  1.786,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3594,                 1.0879,                 1.7986,                0.86036,                  0.795,                0.89323,                0.62283,                 1.1573,                 1.0173,                 1.8067,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3139,                 1.0407,                 1.7619,                0.91107,                0.89785,                0.96077,                0.68325,                 1.1115,                0.84366,                 1.7391,               0.001604,               0.001604,               0.001604
                     22,                 1.3068,                 1.0274,                 1.7614,                 0.8883,                0.81239,                0.91981,                0.62608,                 1.1545,                 1.1197,                 1.7884,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3356,                 1.0348,                 1.7711,                0.90451,                 0.9086,                0.96529,                0.67362,                 1.1013,                0.80015,                 1.7375,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.286,                 1.0258,                 1.7283,                0.88902,                 0.8871,                0.93942,                0.63944,                 1.1794,                0.88251,                 1.8133,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3618,                 1.0186,                 1.7881,                0.91282,                0.84444,                0.94472,                0.64146,                 1.1233,                0.88654,                 1.7276,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2964,                 0.9658,                 1.7298,                0.94945,                 0.8172,                0.91929,                0.63169,                 1.1544,                0.91924,                 1.7698,               0.001505,               0.001505,               0.001505
                     27,                 1.2651,                0.96263,                 1.7223,                0.95539,                0.87634,                0.96253,                0.65203,                   1.19,                 0.8234,                 1.7279,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2467,                0.94518,                 1.6883,                0.95191,                 0.9086,                 0.9656,                0.67627,                 1.1067,                0.74396,                 1.6816,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2061,                0.91543,                 1.6693,                0.98825,                0.90415,                0.97234,                0.70274,                 1.0876,                0.76713,                 1.6899,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2353,                0.94583,                 1.6675,                0.97746,                0.95699,                0.98217,                0.71831,                0.98873,                0.71159,                 1.6433,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2171,                0.90888,                  1.658,                0.98823,                0.90301,                  0.976,                0.72316,                 1.0046,                0.67716,                 1.5901,               0.001406,               0.001406,               0.001406
                     32,                 1.1891,                0.88875,                 1.6376,                0.98827,                0.90596,                0.97702,                 0.6983,                 1.0427,                0.68699,                  1.651,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1973,                 0.8809,                 1.6187,                0.94676,                0.95617,                0.98678,                0.71062,                 1.0112,                0.65587,                 1.5926,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.174,                0.85718,                 1.6062,                0.94226,                0.89785,                0.97015,                0.71641,                 1.0128,                0.68934,                 1.5845,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2002,                0.86901,                 1.6172,                0.95204,                 0.8871,                 0.9583,                  0.694,                 1.0404,                0.73182,                 1.6178,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1705,                0.85993,                 1.6235,                0.96624,                0.92316,                0.97235,                0.71085,                 1.0451,                0.68325,                 1.6604,               0.001307,               0.001307,               0.001307
                     37,                 1.1782,                0.85705,                 1.5798,                0.98562,                0.93011,                0.98267,                0.73931,                0.96165,                0.62194,                 1.5406,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1327,                0.82187,                 1.5739,                0.98512,                0.94086,                0.98586,                0.72101,                0.96393,                 0.6152,                 1.5697,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1083,                0.79378,                 1.5754,                0.98079,                0.90323,                0.98012,                0.73035,                0.95817,                0.63741,                  1.534,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0731,                0.76296,                 1.5264,                0.98346,                 0.9591,                0.98655,                0.72824,                0.97085,                0.60741,                 1.5592,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1138,                0.81509,                 1.5616,                0.97178,                0.92563,                0.97725,                0.72271,                0.96517,                0.65448,                 1.5355,               0.001208,               0.001208,               0.001208
                     42,                 1.1252,                0.80476,                 1.5734,                0.98893,                0.96082,                0.98953,                0.73561,                0.97045,                0.59219,                 1.5389,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.083,                0.75821,                 1.5154,                0.98457,                0.96774,                0.98819,                0.73029,                0.97696,                0.56998,                 1.5551,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0867,                0.75933,                 1.5147,                0.96366,                0.91398,                0.98075,                 0.7509,                0.91284,                0.59099,                 1.4779,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0586,                0.76682,                 1.5209,                0.97799,                0.95566,                0.97842,                0.71519,                 1.0129,                0.59237,                 1.5446,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0834,                0.74851,                  1.486,                0.97836,                0.90323,                0.97268,                0.73667,                0.91387,                0.62819,                 1.4815,               0.001109,               0.001109,               0.001109
                     47,                 1.0851,                0.74539,                 1.5188,                 0.9913,                0.94086,                0.97893,                0.72524,                 0.9521,                0.58478,                 1.5474,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0785,                0.72126,                 1.5076,                0.99449,                0.97011,                0.99079,                0.73778,                0.94503,                0.54796,                 1.4952,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0408,                0.70607,                 1.4693,                      1,                0.96033,                0.98815,                0.77781,                0.85827,                0.52054,                  1.417,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0602,                0.72417,                 1.4777,                0.98356,                0.96474,                0.98484,                0.76761,                0.89253,                0.52728,                  1.435,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.053,                0.70215,                 1.4805,                 0.9727,                 0.9577,                0.98557,                 0.7402,                0.94953,                0.56395,                 1.5378,                0.00101,                0.00101,                0.00101
                     52,                  1.051,                0.71253,                 1.4645,                0.98346,                0.95904,                 0.9835,                 0.7574,                0.92273,                0.53624,                 1.4624,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0349,                0.68324,                 1.4604,                0.97233,                0.95161,                0.98319,                 0.7487,                0.91842,                0.53151,                 1.4677,              0.0009704,              0.0009704,              0.0009704
                     54,                0.99619,                0.65721,                 1.4597,                0.93218,                0.93011,                0.96554,                0.75445,                0.90031,                 0.5802,                 1.4406,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0105,                0.66649,                 1.4378,                0.99437,                0.95041,                0.98592,                0.73403,                0.91458,                 0.5602,                 1.4738,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0054,                0.68087,                 1.4402,                0.98916,                0.98124,                0.99145,                0.74735,                0.91189,                0.51854,                 1.4687,               0.000911,               0.000911,               0.000911
                     57,                 1.0419,                0.69475,                 1.4838,                0.99023,                0.95161,                 0.9843,                0.75796,                0.90671,                0.52728,                 1.4738,              0.0008912,              0.0008912,              0.0008912
                     58,                0.99933,                0.67765,                 1.4546,                 0.9918,                0.96237,                0.99162,                0.75108,                0.91605,                0.50651,                 1.4575,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0015,                0.63251,                 1.4206,                  0.991,                0.96237,                0.99189,                0.75643,                0.88706,                0.50177,                 1.4215,              0.0008516,              0.0008516,              0.0008516
                     60,                0.99174,                0.64832,                 1.4354,                0.98883,                0.95187,                0.98883,                0.77435,                0.85375,                0.51672,                 1.4067,              0.0008318,              0.0008318,              0.0008318
                     61,                0.99601,                0.64952,                 1.4414,                0.97849,                0.97816,                0.98828,                0.76506,                0.86326,                 0.5199,                 1.4159,               0.000812,               0.000812,               0.000812
