                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85435,                0.56364,                 1.0674,                0.98881,                0.94624,                0.98187,                0.77042,                0.80567,                 0.4679,                 1.0358,              0.0013268,              0.0013268,              0.0013268
                     36,                0.81972,                0.53326,                 1.0532,                0.97728,                0.92489,                0.97477,                0.78603,                0.79928,                0.47817,                 1.0073,               0.001307,               0.001307,               0.001307
                     37,                0.86236,                0.55578,                 1.0524,                 0.9785,                0.95161,                0.97472,                0.78036,                0.78921,                0.46873,                 1.0164,              0.0012872,              0.0012872,              0.0012872
                     38,                0.81071,                0.51334,                 1.0438,                0.98553,                0.94624,                  0.981,                0.77279,                0.81192,                0.47563,                 1.0379,              0.0012674,              0.0012674,              0.0012674
                     39,                0.80881,                0.52759,                 1.0507,                0.99612,                0.94086,                0.97442,                0.78801,                0.82918,                0.49696,                 1.0359,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.8112,                 0.5017,                 1.0356,                      1,                0.93437,                0.97426,                0.77583,                0.80865,                 0.4717,                 1.0189,              0.0012278,              0.0012278,              0.0012278
                     41,                0.82048,                0.51853,                 1.0387,                0.97769,                0.94255,                0.98285,                0.77811,                0.79542,                0.45871,                 1.0138,               0.001208,               0.001208,               0.001208
                     42,                0.82155,                0.51752,                 1.0604,                      1,                0.92337,                0.96916,                0.77768,                0.81056,                0.49172,                 1.0204,              0.0011882,              0.0011882,              0.0011882
                     43,                0.80444,                0.48614,                 1.0297,                0.99446,                0.96591,                0.98351,                0.78681,                0.77558,                 0.4335,                 1.0071,              0.0011684,              0.0011684,              0.0011684
                     44,                0.79958,                0.48893,                 1.0244,                0.98251,                0.94086,                0.97321,                0.78255,                0.78943,                0.45722,                 1.0289,              0.0011486,              0.0011486,              0.0011486
                     45,                0.78171,                0.49577,                 1.0368,                0.98877,                0.94711,                 0.9829,                0.76974,                0.80631,                0.45134,                  1.017,              0.0011288,              0.0011288,              0.0011288
                     46,                0.81073,                0.49991,                 1.0362,                0.98901,                0.95699,                0.98116,                0.77203,                0.80011,                0.43431,                 1.0158,               0.001109,               0.001109,               0.001109
                     47,                0.80398,                0.49153,                   1.05,                      1,                0.94009,                0.97938,                0.78348,                0.79729,                0.43597,                 1.0197,              0.0010892,              0.0010892,              0.0010892
                     48,                0.78861,                0.48057,                 1.0267,                0.98312,                0.97312,                 0.9825,                0.78089,                0.78939,                0.44428,                  1.005,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.7796,                0.47639,                 1.0215,                      1,                0.92868,                0.97062,                 0.7769,                0.80285,                0.45547,                 1.0213,              0.0010496,              0.0010496,              0.0010496
                     50,                0.80779,                0.47738,                 1.0217,                0.98801,                0.96774,                0.98454,                0.77948,                0.77578,                0.41995,                0.99617,              0.0010298,              0.0010298,              0.0010298
                     51,                0.77705,                 0.4739,                 1.0266,                0.98951,                0.96237,                0.98401,                0.79211,                0.78685,                0.41798,                 1.0068,                0.00101,                0.00101,                0.00101
                     52,                0.77929,                0.47924,                 1.0268,                0.98755,                0.95699,                0.98027,                0.80045,                0.76402,                0.43038,                0.99864,              0.0009902,              0.0009902,              0.0009902
                     53,                0.77014,                0.45728,                 1.0205,                0.98903,                0.96965,                0.98587,                0.80257,                0.75706,                0.38259,                0.98758,              0.0009704,              0.0009704,              0.0009704
                     54,                0.76586,                0.45497,                 1.0192,                0.98321,                0.94453,                  0.975,                0.78847,                0.80135,                0.43524,                 1.0145,              0.0009506,              0.0009506,              0.0009506
                     55,                0.75542,                0.45252,                 1.0141,                0.98724,                0.96237,                0.98515,                0.79248,                0.77108,                0.41541,                 1.0116,              0.0009308,              0.0009308,              0.0009308
                     56,                0.75258,                0.45697,                 1.0021,                0.98896,                0.96349,                0.97591,                0.79672,                0.76577,                0.41843,                0.99459,               0.000911,               0.000911,               0.000911
                     57,                0.77084,                0.47151,                 1.0192,                0.99448,                0.96879,                0.98101,                0.79836,                0.73036,                0.40394,                0.97503,              0.0008912,              0.0008912,              0.0008912
                     58,                0.75182,                 0.4652,                 1.0198,                0.99974,                0.97312,                0.98453,                0.79983,                0.75573,                0.40622,                0.98699,              0.0008714,              0.0008714,              0.0008714
                     59,                0.77468,                0.45369,                 1.0231,                0.99569,                0.97312,                0.98818,                0.79852,                0.75268,                0.38766,                0.99632,              0.0008516,              0.0008516,              0.0008516
