                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1895,                 2.3677,                 1.2431,                0.95193,                0.10651,                0.61472,                0.36722,                 1.1892,                 3.6824,                 1.2692,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.0604,                 1.6361,                 1.1736,                0.78385,                 0.5654,                 0.6993,                0.45061,                 1.1467,                 2.9209,                  1.352,             0.00088244,             0.00088244,             0.00088244
                      3,                0.97245,                 1.3744,                 1.1253,                0.81508,                0.65591,                0.74497,                0.48721,                 1.2216,                 2.1541,                 1.3495,             0.00067447,             0.00067447,             0.00067447
