epoch,train_loss,train_acc,val_loss,val_acc
1,1.482194797706604,0.47185,1.1674839928627014,0.5877
2,1.086151116657257,0.621525,0.9652834723472595,0.6626
3,0.8981512773036957,0.688875,0.8753229591369629,0.692
4,0.7693071400642395,0.734275,0.8176535756111145,0.717
5,0.6549234396100044,0.7748,0.7915863535881043,0.7309
6,0.5502985789418221,0.8119,0.7321725824832916,0.7514
7,0.46152537190914156,0.84235,0.7690611508369446,0.7457
8,0.36412229372262955,0.8748,0.7894547643661499,0.7517
9,0.3026678035199642,0.895225,0.8267236349582672,0.7448
10,0.24094118397533892,0.9164,0.847570245885849,0.7541
11,0.19181037143580615,0.9342,0.9764071728706359,0.7475
12,0.1679654459219426,0.9424,0.9922450115680694,0.7533
13,0.1396893561065197,0.952675,1.0316590342521668,0.7513
14,0.13844149020966143,0.953375,1.0497400544166564,0.7637
15,0.11653099628221243,0.960725,1.0802867285728455,0.7523
16,0.09857919111745432,0.965525,1.1672858816146852,0.7481
17,0.09872172985207289,0.966075,1.0899937158107758,0.7526
18,0.0826479186080629,0.9717,1.1398099651813507,0.7614
19,0.09148413205603137,0.9702,1.14400502243042,0.7557
20,0.07311999278618023,0.9752,1.189099812221527,0.7588
21,0.07365715425389353,0.9751,1.2204712683677674,0.7533
22,0.06673810778516345,0.977025,1.229645819711685,0.7601
23,0.06969262559129856,0.9765,1.2471169748306274,0.7577
24,0.0594511776470812,0.980075,1.2622586784839631,0.7595
25,0.0618606845624512,0.980025,1.210843273496628,0.7488
