epoch,train_loss,train_acc,val_loss,val_acc
1,1.8863665387153625,0.32095,1.65579962348938,0.4128
2,1.5312668201446533,0.45855,1.4440064880371093,0.4887
3,1.3717649514198302,0.520825,1.3470778455734254,0.5267
4,1.252455905199051,0.564775,1.3601386491775513,0.5267
5,1.1287702216625213,0.60365,1.3119200419425965,0.545
6,0.9998451658725739,0.653225,1.2905347379684449,0.562
7,0.8566445120334625,0.701175,1.2746788747787476,0.5767
8,0.7159607986688614,0.75015,1.3390883251190187,0.5689
9,0.5709422639489173,0.799775,1.4789915563583373,0.564
10,0.44948212173581126,0.843225,1.6132794395446777,0.5622
11,0.3483691483706236,0.878675,1.891849780845642,0.5524
12,0.28440487494766714,0.901475,2.084545126914978,0.5443
13,0.23608338699042797,0.9183,2.0511617109298705,0.5564
14,0.2037014176338911,0.929425,2.247825531387329,0.5546
15,0.18771427853927017,0.934875,2.2518058181762695,0.5446
16,0.1628456157874316,0.943875,2.2344245759963988,0.5571
17,0.1480836279908195,0.94895,2.352516682434082,0.5438
18,0.13646246299818157,0.952675,2.4751761825561522,0.5489
19,0.1406360148416832,0.951775,2.4154737787246705,0.5493
20,0.1163081680674106,0.960125,2.5317634353637697,0.5514
21,0.11192102530095727,0.961225,2.592530262756348,0.5499
22,0.10672511412231252,0.96275,2.6357019353866575,0.5504
23,0.10556547001451254,0.965025,2.5860142791748046,0.5503
24,0.09918992273169569,0.96645,2.7140483016967774,0.5407
25,0.08945888661774806,0.9692,2.656317827987671,0.552
