                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1001,                 2.1449,                 1.1629,                0.98591,                 0.3762,                0.89341,                0.63133,                0.94276,                 3.2069,                 1.0684,             0.00065041,             0.00065041,             0.00065041
                      2,                0.99653,                 1.4786,                 1.1183,                0.83928,                0.74194,                0.82852,                0.59356,                 1.0103,                 2.2057,                 1.1476,             0.00088244,             0.00088244,             0.00088244
                      3,                0.94295,                 1.2815,                 1.0777,                 0.7944,                 0.9348,                0.91852,                0.68129,                0.89688,                  1.556,                  1.081,             0.00067447,             0.00067447,             0.00067447
